,timestamp,node_id,average_value,count,min_value,max_value
0,2018-01-01,001e0610ba18,52.84136554621848,3332,42.65,59.72
1,2018-01-01,001e0610ba3b,53.12286078098472,3534,44.25,61.72
2,2018-01-01,001e0610ba57,23.67989026855328,3463,17.71,30.27
3,2018-01-01,001e0610bc07,43.84414620535715,3584,36.42,50.51
4,2018-01-01,001e0610e532,47.56394107837688,3598,40.85,52.91
5,2018-01-01,001e0610e540,48.210739910313904,3568,41.32,55.48
6,2018-01-01,001e0610ee61,50.07759564367495,3581,40.85,56.33
7,2018-01-01,001e0610eef4,47.84589192708333,1536,40.48,56.82
8,2018-01-01,001e0610ef27,40.43023762929829,3577,34.96,45.32
9,2018-01-01,001e0610fb4c,47.402863955119216,3565,39.4,54.92
10,2018-01-02,001e0610ba18,57.988171597633134,3380,41.68,67.68
11,2018-01-02,001e0610ba3b,60.853389926428974,3534,45.44,72.65
12,2018-01-02,001e0610ba57,29.79551216751556,3534,17.29,36.62
13,2018-01-02,001e0610bc07,50.06206570155902,3592,36.85,56.66
14,2018-01-02,001e0610e532,53.007519973368844,3004,38.58,60.13
15,2018-01-02,001e0610e540,55.816200726866086,3577,40.32,66.32
16,2018-01-02,001e0610ee61,53.15648814504882,3585,34.08,61.45
17,2018-01-02,001e0610eef4,54.58919382022472,3560,35.12,62.98
18,2018-01-02,001e0610ef27,46.930884026258205,2285,40.87,50.85
19,2018-01-02,001e0610fb4c,51.922648044692735,3580,33.47,60.89
20,2018-01-03,001e0610ba18,62.02942968968409,3577,51.6,75.21
21,2018-01-03,001e0610ba3b,63.365735419630155,3515,51.53,76.57
22,2018-01-03,001e0610ba57,40.05562147730644,3371,32.02,53.5
23,2018-01-03,001e0610bc07,55.077891137076094,3509,43.36,69.26
24,2018-01-03,001e0610e532,54.896917052331794,2809,44.89,67.75
25,2018-01-03,001e0610e540,59.59349387527839,3592,49.83,73.04
26,2018-01-03,001e0610ee61,58.98652285714285,3500,12.01,70.47
27,2018-01-03,001e0610eef4,58.48193149915778,3562,43.98,71.86
28,2018-01-03,001e0610fb4c,57.20152192125104,3581,46.48,68.48
29,2018-01-04,001e0610ba18,55.09835799245721,3447,39.68,66.29
30,2018-01-04,001e0610ba3b,54.92907281001138,3516,34.24,67.6
31,2018-01-04,001e0610ba57,32.36369075829384,3376,20.14,40.3
32,2018-01-04,001e0610bc07,45.47071207430341,3553,31.33,55.27
33,2018-01-04,001e0610e532,49.15097804945818,3599,33.93,60.39
34,2018-01-04,001e0610e540,50.420467055879904,3597,35.27,62.38
35,2018-01-04,001e0610ee61,53.53959060979101,3493,13.85,63.58
36,2018-01-04,001e0610eef4,49.389596728708405,3546,33.03,60.2
37,2018-01-04,001e0610fb4c,50.12639966508513,3583,35.03,61.03
38,2018-01-05,001e0610ba18,54.155330892706274,3551,39.04,65.55
39,2018-01-05,001e0610ba3b,53.16040268456376,3427,34.9,65.21
40,2018-01-05,001e0610ba57,28.622829953198128,3205,18.37,36.99
41,2018-01-05,001e0610bc07,44.99399154929578,3550,30.24,56.86
42,2018-01-05,001e0610e532,47.88237076153418,3598,32.95,57.67
43,2018-01-05,001e0610e540,48.78341877960435,3589,33.7,59.71
44,2018-01-05,001e0610ee61,52.58136121246141,3563,38.75,63.51
45,2018-01-05,001e0610eef4,48.35922059651098,3554,30.78,60.16
46,2018-01-05,001e0610fb4c,49.146025069637886,3590,32.96,58.84
47,2018-01-06,001e0610ba18,49.03506020722487,3571,24.39,61.72
48,2018-01-06,001e0610ba3b,49.328603603603604,3552,33.97,60.81
49,2018-01-06,001e0610ba57,25.795356531660012,3506,11.04,34.63
50,2018-01-06,001e0610bc07,41.14892415730338,3560,21.79,53.84
51,2018-01-06,001e0610e532,42.825104253544616,3597,23.02,54.87
52,2018-01-06,001e0610e540,43.90305037573059,3593,25.42,55.23
53,2018-01-06,001e0610ee61,47.970327914798204,3568,27.66,60.34
54,2018-01-06,001e0610eef4,44.249336907449205,3544,26.07,56.58
55,2018-01-06,001e0610fb4c,44.6059922070693,3593,24.41,56.4
56,2018-01-07,001e0610ba18,56.292634866553094,3522,37.38,78.22
57,2018-01-07,001e0610ba3b,60.36066895368782,3498,41.53,80.1
58,2018-01-07,001e0610ba57,38.054584458445845,3333,18.76,60.37
59,2018-01-07,001e0610bc07,52.16157850309511,3554,34.14,73.75
60,2018-01-07,001e0610e532,46.349052514587385,3599,28.31,67.48
61,2018-01-07,001e0610e540,54.11824185009752,3589,35.12,80.63
62,2018-01-07,001e0610ee61,55.62024335664336,3575,37.05,73.89
63,2018-01-07,001e0610eef4,54.47864728898826,3578,36.03,74.58
64,2018-01-07,001e0610fb4c,53.556665736607144,3584,35.03,74.36
65,2018-01-08,001e0610ba13,6.32088669950739,1827,5.0,7.82
66,2018-01-08,001e0610ba18,77.24403781038374,3544,59.71,90.57
67,2018-01-08,001e0610ba3b,80.32881019036954,3572,64.06,92.95
68,2018-01-08,001e0610ba57,61.76248400556328,3595,48.39,73.53
69,2018-01-08,001e0610bc07,75.15609857978279,3591,61.64,87.36
70,2018-01-08,001e0610e532,68.70120656102307,3597,51.43,83.08
71,2018-01-08,001e0610e540,84.17773637374862,3596,64.23,97.77
72,2018-01-08,001e0610e809,67.02548387096775,310,56.86,99.88
73,2018-01-08,001e0610ee61,74.42172957746479,3550,59.34,86.55
74,2018-01-08,001e0610eef4,73.93208671328672,3575,55.67,87.52
75,2018-01-08,001e0610fb4c,72.00663410549818,3583,54.82,86.07
76,2018-01-09,001e0610ba13,6.388870877585243,3578,5.02,8.74
